sample_id,token_count,path_count,unique_colors,has_gradient,has_css_class,has_js,has_defs,valid_xml
yd-vector-000000.tar::1000196.svg,1591,4,0,False,True,False,False,True
yd-vector-000000.tar::1000197.svg,523,1,0,False,False,False,False,True
yd-vector-000000.tar::1000198.svg,1034,1,1,False,False,False,False,True
yd-vector-000000.tar::1000199.svg,776,1,1,False,False,False,False,True
yd-vector-000000.tar::10002.svg,1516,0,3,False,False,False,True,True
yd-vector-000000.tar::100020.svg,3073,4,0,False,False,False,False,True
yd-vector-000000.tar::1000200.svg,166,4,3,False,True,False,False,True
yd-vector-000000.tar::1000201.svg,480,1,0,False,False,False,False,True
yd-vector-000000.tar::1000202.svg,971,2,0,False,False,False,False,True
yd-vector-000000.tar::1000203.svg,281,3,3,False,False,False,False,True
yd-vector-000000.tar::1000204.svg,1509,12,4,False,False,False,False,True
yd-vector-000000.tar::1000205.svg,4444,9,1,False,False,False,False,True
yd-vector-000000.tar::1000206.svg,2138,1,1,False,False,False,False,True
yd-vector-000000.tar::1000207.svg,674,2,7,False,False,False,False,True
yd-vector-000000.tar::1000208.svg,433,0,2,True,True,False,False,True
yd-vector-000000.tar::1000209.svg,101,1,0,False,False,False,False,True
yd-vector-000000.tar::100021.svg,311,1,1,False,False,False,False,True
yd-vector-000000.tar::1000210.svg,2906,5,1,False,False,False,False,True
yd-vector-000000.tar::1000211.svg,902,1,1,False,False,False,True,True
yd-vector-000000.tar::1000212.svg,1359,11,14,True,False,False,True,True
yd-vector-000000.tar::1000213.svg,471,3,2,False,False,False,False,True
yd-vector-000000.tar::1000214.svg,248,0,2,False,True,False,True,True
yd-vector-000000.tar::1000215.svg,604,1,0,False,False,False,False,True
yd-vector-000000.tar::1000216.svg,3696,4,3,True,False,False,True,True
yd-vector-000000.tar::1000217.svg,4193,12,2,False,True,False,True,True
yd-vector-000000.tar::1000218.svg,340,1,0,False,False,False,False,True
yd-vector-000000.tar::1000219.svg,513,0,0,False,False,False,False,True
yd-vector-000000.tar::100022.svg,434,1,1,False,False,False,False,True
yd-vector-000000.tar::1000220.svg,3124,7,0,False,False,False,False,True
yd-vector-000000.tar::1000221.svg,774,2,1,False,False,False,False,True
yd-vector-000000.tar::1000222.svg,2167,7,5,True,False,False,True,True
yd-vector-000000.tar::1000223.svg,596,2,1,False,False,False,False,True
yd-vector-000000.tar::1000224.svg,815,8,4,False,False,False,False,True
yd-vector-000000.tar::1000225.svg,66,1,1,False,False,False,False,True
yd-vector-000000.tar::1000226.svg,4000,6,0,False,False,False,False,True
yd-vector-000000.tar::1000227.svg,419,1,2,False,False,False,False,True
yd-vector-000000.tar::1000228.svg,3436,10,4,False,True,False,False,True
yd-vector-000000.tar::1000229.svg,413,1,1,False,False,False,True,True
yd-vector-000000.tar::100023.svg,1664,11,5,False,False,False,True,True
yd-vector-000000.tar::1000230.svg,311,1,1,True,False,False,True,True
yd-vector-000000.tar::1000231.svg,304,1,0,False,False,False,False,True
yd-vector-000000.tar::1000232.svg,473,3,4,True,False,False,True,True
yd-vector-000000.tar::1000233.svg,234,1,0,False,False,False,False,True
yd-vector-000000.tar::1000234.svg,1238,6,5,False,False,False,False,True
yd-vector-000000.tar::1000235.svg,1094,4,2,True,False,False,True,True
yd-vector-000000.tar::1000236.svg,322,2,1,False,False,False,False,True
yd-vector-000000.tar::1000237.svg,246,1,0,False,False,False,False,True
yd-vector-000000.tar::1000238.svg,408,2,0,False,False,False,False,True
yd-vector-000000.tar::1000239.svg,1645,9,0,False,False,False,True,True
yd-vector-000000.tar::100024.svg,510,1,0,False,False,False,False,True
yd-vector-000000.tar::1000240.svg,198,1,0,False,False,False,False,True
yd-vector-000000.tar::1000241.svg,623,3,1,False,False,False,False,True
yd-vector-000000.tar::1000242.svg,3841,8,0,False,False,False,True,True
yd-vector-000000.tar::1000243.svg,407,1,1,False,False,False,False,True
yd-vector-000000.tar::1000244.svg,2088,1,1,False,True,False,True,True
yd-vector-000000.tar::1000245.svg,928,1,0,False,False,False,False,True
yd-vector-000000.tar::1000246.svg,2295,16,3,False,False,False,False,True
yd-vector-000000.tar::1000247.svg,278,1,0,False,False,False,False,True
yd-vector-000000.tar::1000248.svg,1588,17,4,False,False,False,False,True
yd-vector-000000.tar::1000249.svg,557,1,1,False,True,False,False,True
yd-vector-000000.tar::100025.svg,4457,38,3,False,False,False,False,True
yd-vector-000000.tar::1000250.svg,1987,20,2,False,True,False,True,True
yd-vector-000000.tar::1000251.svg,287,2,0,False,True,False,True,True
yd-vector-000000.tar::1000252.svg,212,0,0,False,False,False,False,True
yd-vector-000000.tar::1000253.svg,2545,1,2,False,False,False,True,True
yd-vector-000000.tar::1000254.svg,123,2,0,False,True,False,False,True
yd-vector-000000.tar::1000255.svg,162,1,1,False,False,False,False,True
yd-vector-000000.tar::1000256.svg,148,1,0,False,False,False,False,True
yd-vector-000000.tar::1000257.svg,307,2,2,False,False,False,False,True
yd-vector-000000.tar::1000258.svg,501,1,0,False,False,False,False,True
yd-vector-000000.tar::1000259.svg,546,1,1,False,False,False,False,True
yd-vector-000000.tar::100026.svg,2566,18,8,False,False,False,False,True
yd-vector-000000.tar::1000260.svg,141,1,0,False,False,False,False,True
yd-vector-000000.tar::1000261.svg,2198,7,1,True,True,False,True,True
yd-vector-000000.tar::1000262.svg,230,1,1,False,False,False,False,True
yd-vector-000000.tar::1000263.svg,1443,1,0,False,False,False,False,True
yd-vector-000000.tar::1000264.svg,951,2,1,True,False,False,True,True
yd-vector-000000.tar::1000265.svg,1533,1,2,True,False,False,True,True
yd-vector-000000.tar::1000266.svg,695,3,0,False,False,False,False,True
yd-vector-000000.tar::1000267.svg,428,6,4,False,True,False,False,True
yd-vector-000000.tar::1000268.svg,226,2,2,False,False,False,False,True
yd-vector-000000.tar::1000269.svg,4727,18,12,False,False,False,False,True
yd-vector-000000.tar::100027.svg,4778,9,1,False,False,False,False,True
yd-vector-000000.tar::1000270.svg,338,1,0,False,False,False,False,True
yd-vector-000000.tar::1000271.svg,3475,5,2,False,False,False,False,True
yd-vector-000000.tar::1000272.svg,869,5,4,False,False,False,False,True
yd-vector-000000.tar::1000273.svg,69,0,1,False,False,False,False,True
yd-vector-000000.tar::1000274.svg,192,2,1,False,False,False,False,True
yd-vector-000000.tar::1000275.svg,426,0,2,False,False,False,False,True
yd-vector-000000.tar::1000276.svg,5150,16,6,False,False,False,False,True
yd-vector-000000.tar::1000277.svg,98,2,2,False,False,False,False,True
yd-vector-000000.tar::1000278.svg,190,1,0,False,True,False,True,True
yd-vector-000000.tar::1000279.svg,586,1,1,False,False,False,False,True
yd-vector-000000.tar::100028.svg,2053,14,8,True,False,False,True,True
yd-vector-000000.tar::1000280.svg,2454,17,1,False,False,False,True,True
yd-vector-000000.tar::1000281.svg,248,3,1,False,False,False,False,True
yd-vector-000000.tar::1000282.svg,877,2,1,False,False,False,False,True
yd-vector-000000.tar::1000283.svg,393,1,0,False,False,False,False,True
yd-vector-000000.tar::1000284.svg,1351,1,1,False,True,False,False,True
yd-vector-000000.tar::1000285.svg,82,0,2,False,False,False,False,True
yd-vector-000000.tar::1000286.svg,2510,3,2,False,False,False,True,True
yd-vector-000000.tar::1000287.svg,3729,12,7,True,False,False,True,True
yd-vector-000000.tar::1000288.svg,1448,1,1,False,False,False,True,True
yd-vector-000000.tar::1000289.svg,145,1,0,False,False,False,False,True
yd-vector-000000.tar::100029.svg,4279,16,6,False,False,False,False,True
yd-vector-000000.tar::1000290.svg,946,2,1,False,False,False,False,True
yd-vector-000000.tar::1000291.svg,2334,7,4,False,False,False,False,True
yd-vector-000000.tar::1000292.svg,989,0,2,False,False,False,True,True
yd-vector-000000.tar::1000293.svg,249,1,0,False,False,False,False,True
yd-vector-000000.tar::1000294.svg,230,1,0,False,False,False,False,True
yd-vector-000000.tar::1000295.svg,1752,2,0,False,False,False,True,True
yd-vector-000000.tar::1000296.svg,374,2,1,True,False,False,False,True
yd-vector-000000.tar::1000297.svg,469,1,1,False,True,False,False,True
yd-vector-000000.tar::1000298.svg,6589,9,6,False,True,False,False,True
yd-vector-000000.tar::1000299.svg,228,1,1,False,False,False,False,True
yd-vector-000000.tar::10003.svg,947,1,0,False,False,False,False,True
yd-vector-000000.tar::100030.svg,1455,1,0,False,True,False,True,True
yd-vector-000000.tar::1000300.svg,426,3,2,False,False,False,True,True
yd-vector-000000.tar::1000301.svg,1619,2,2,True,False,False,True,True
yd-vector-000000.tar::1000302.svg,139,1,0,False,False,False,False,True
yd-vector-000000.tar::1000303.svg,909,4,6,True,False,False,True,True
yd-vector-000000.tar::1000304.svg,4024,12,5,True,False,False,True,True
yd-vector-000000.tar::1000305.svg,737,1,6,False,True,False,False,True
yd-vector-000000.tar::1000306.svg,1067,6,2,True,False,False,False,True
yd-vector-000000.tar::1000307.svg,4276,10,7,False,False,False,False,True
yd-vector-000000.tar::1000308.svg,171,1,1,False,True,False,True,True
yd-vector-000000.tar::1000309.svg,374,1,1,False,False,False,True,True
yd-vector-000000.tar::100031.svg,4098,31,11,False,False,False,False,True
yd-vector-000000.tar::1000310.svg,3058,13,3,False,False,False,False,True
yd-vector-000000.tar::1000311.svg,1713,5,3,False,False,False,True,True
yd-vector-000000.tar::1000312.svg,245,0,2,False,False,False,False,True
yd-vector-000000.tar::1000313.svg,715,1,1,False,False,False,True,True
yd-vector-000000.tar::1000314.svg,513,1,0,False,False,False,False,True
yd-vector-000000.tar::1000315.svg,1172,1,1,False,False,False,False,True
yd-vector-000000.tar::1000316.svg,1993,2,2,False,False,False,False,True
yd-vector-000000.tar::1000317.svg,965,1,1,False,False,False,False,True
yd-vector-000000.tar::1000318.svg,1118,1,0,False,False,False,False,True
yd-vector-000000.tar::1000319.svg,2342,10,5,False,False,False,False,True
yd-vector-000000.tar::100032.svg,236,1,0,False,False,False,False,True
yd-vector-000000.tar::1000320.svg,166,1,1,False,False,False,False,True
yd-vector-000000.tar::1000321.svg,388,1,0,False,False,False,False,True
yd-vector-000000.tar::1000322.svg,313,1,0,False,False,False,False,True
yd-vector-000000.tar::1000323.svg,1083,1,2,False,False,False,True,True
yd-vector-000000.tar::1000324.svg,1513,5,2,True,False,False,False,True
yd-vector-000000.tar::1000325.svg,1026,5,1,False,False,False,True,True
yd-vector-000000.tar::1000326.svg,2042,4,4,True,False,False,True,True
yd-vector-000000.tar::1000327.svg,118,2,0,False,False,False,False,True
yd-vector-000000.tar::1000328.svg,326,1,1,False,False,False,False,True
yd-vector-000000.tar::1000329.svg,68,1,0,False,False,False,False,True
yd-vector-000000.tar::100033.svg,801,2,2,False,False,False,True,True
yd-vector-000000.tar::1000330.svg,4099,27,16,False,False,False,False,True
yd-vector-000000.tar::1000331.svg,1389,18,2,False,True,False,True,True
yd-vector-000000.tar::1000332.svg,615,1,2,False,False,False,True,True
yd-vector-000000.tar::1000333.svg,409,2,0,False,False,False,False,True
yd-vector-000000.tar::1000334.svg,308,1,1,False,False,False,False,True
yd-vector-000000.tar::1000335.svg,141,1,0,False,False,False,False,True
yd-vector-000000.tar::1000336.svg,271,1,0,False,False,False,False,True
yd-vector-000000.tar::1000337.svg,965,1,1,False,False,False,False,True
yd-vector-000000.tar::1000338.svg,1743,0,0,False,False,False,False,True
yd-vector-000000.tar::1000339.svg,160,0,2,False,False,False,False,True
yd-vector-000000.tar::100034.svg,138,1,0,False,False,False,False,True
yd-vector-000000.tar::1000340.svg,2478,2,1,False,True,False,False,True
yd-vector-000000.tar::1000341.svg,3109,4,3,False,False,False,False,True
yd-vector-000000.tar::1000342.svg,4100,22,2,False,False,False,False,True
yd-vector-000000.tar::1000343.svg,472,3,1,False,False,False,False,True
yd-vector-000000.tar::1000344.svg,330,1,1,False,True,False,False,True
yd-vector-000000.tar::1000345.svg,368,6,4,False,False,False,False,True
yd-vector-000000.tar::1000346.svg,313,2,1,False,False,False,False,True
yd-vector-000000.tar::1000348.svg,5214,18,2,True,False,False,True,True
yd-vector-000000.tar::1000349.svg,182,1,1,False,False,False,False,True
yd-vector-000000.tar::100035.svg,717,6,5,False,False,False,False,True
yd-vector-000000.tar::1000350.svg,159,1,1,False,False,False,False,True
